epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,2077.42,0.99271,0.87713,1.23824,0.93298,0.92725,0.97587,0.76904,0.77163,0.53753,1.12763,0.000627292,0.000627292,0.000627292
128,2101.18,1.12005,0.94825,1.28974,0.91552,0.94255,0.97879,0.77466,0.77479,0.5344,1.12045,0.00061904,0.00061904,0.00061904
129,2120.57,1.08254,0.88387,1.30014,0.94514,0.91403,0.97684,0.7767,0.77798,0.53533,1.11912,0.000610789,0.000610789,0.000610789
130,2136.77,1.01827,0.86426,1.27803,0.93709,0.92027,0.97573,0.75805,0.75898,0.52701,1.12913,0.000602537,0.000602537,0.000602537
131,2153.63,1.08044,0.89309,1.26727,0.92237,0.93434,0.97267,0.7469,0.77647,0.5466,1.14316,0.000594286,0.000594286,0.000594286
132,2171.59,1.05619,0.90449,1.28912,0.92909,0.9305,0.97142,0.77474,0.73844,0.5508,1.09533,0.000586034,0.000586034,0.000586034
133,2187.22,1.0152,0.88763,1.232,0.94423,0.9439,0.97634,0.78956,0.7143,0.51308,1.08263,0.000577782,0.000577782,0.000577782
134,2206.27,1.03698,0.86415,1.23342,0.94059,0.93651,0.97933,0.79408,0.69988,0.50927,1.08806,0.000569531,0.000569531,0.000569531
135,2225.08,0.98397,0.85977,1.24116,0.92419,0.94438,0.97988,0.79567,0.70413,0.48521,1.09105,0.000561279,0.000561279,0.000561279
136,2243.95,1.0044,0.81055,1.26486,0.92779,0.9366,0.97759,0.78075,0.75166,0.50657,1.10182,0.000553027,0.000553027,0.000553027
137,2258.03,1.03843,0.82871,1.23405,0.94463,0.92507,0.9787,0.78942,0.71586,0.49503,1.09025,0.000544776,0.000544776,0.000544776
138,2278.59,1.01458,0.87063,1.26522,0.93909,0.93789,0.97688,0.77974,0.73151,0.50017,1.0841,0.000536524,0.000536524,0.000536524
139,2297.25,0.95638,0.81513,1.2502,0.95516,0.92677,0.97978,0.79507,0.67823,0.49114,1.07434,0.000528272,0.000528272,0.000528272
140,2314.22,0.96899,0.7855,1.21879,0.93571,0.93302,0.97884,0.78981,0.70988,0.49793,1.07753,0.000520021,0.000520021,0.000520021
141,2329.8,0.98297,0.80062,1.22029,0.92181,0.94446,0.97288,0.78883,0.70371,0.49362,1.06143,0.000511769,0.000511769,0.000511769
142,2348.37,1.00864,0.78114,1.22792,0.90454,0.95367,0.97499,0.7969,0.70531,0.48253,1.05762,0.000503517,0.000503517,0.000503517
143,2365.13,0.94987,0.78166,1.2029,0.91627,0.95304,0.9789,0.7933,0.73519,0.48108,1.06579,0.000495266,0.000495266,0.000495266
144,2383.66,0.97928,0.80975,1.2236,0.94618,0.93369,0.98205,0.80852,0.68048,0.47772,1.0544,0.000487014,0.000487014,0.000487014
145,2399.43,0.8672,0.73705,1.14545,0.92705,0.96008,0.98199,0.81372,0.68157,0.47239,1.05303,0.000478762,0.000478762,0.000478762
146,2416.51,1.0602,0.87874,1.39302,0.92371,0.96662,0.98437,0.81566,0.66218,0.46182,1.03478,0.000470511,0.000470511,0.000470511
147,2432.84,0.91288,0.77577,1.21629,0.94121,0.94698,0.9832,0.81301,0.64633,0.45522,1.03135,0.000462259,0.000462259,0.000462259
148,2446.75,0.93128,0.77491,1.20911,0.93679,0.95394,0.98251,0.81489,0.65432,0.46044,1.03865,0.000454007,0.000454007,0.000454007
149,2462.4,0.91101,0.75209,1.16965,0.94701,0.94484,0.98163,0.81245,0.67557,0.45291,1.04782,0.000445756,0.000445756,0.000445756
150,2474.81,0.94282,0.75346,1.1949,0.92874,0.94998,0.9792,0.81006,0.71648,0.46986,1.05447,0.000437504,0.000437504,0.000437504
151,2488.84,0.93981,0.74733,1.17733,0.94046,0.93532,0.9806,0.81272,0.68712,0.45558,1.04088,0.000429253,0.000429253,0.000429253
